Trial,40K I series,40K V series,40K V resistor,40K power,40K temp,4K I series,4K V series,4K V resistor,4K power,4K temp,Date
152,0.277247735,14.1980854,13.8328834,3.835135589,63.4634,0.09758154,5.0241846,4.7586704,0.464358386,4.5504,12:12.4
153,0.277223075,14.198332,13.8325256,3.83469528,63.3072,0.136983577,7.1154456,6.741886,0.923527663,5.2314,17:25.5
154,0.277201695,14.1985458,13.8319708,3.834245749,63.1182,0.19346022,10.0653978,9.5388318,1.845384499,6.71,22:38.5
155,0.277278675,14.197776,13.833482,3.835729557,63.144,1.385760466,0.8393338,0.7913248,1.096586623,3.8416,27:51.3
156,0.277191615,14.1986466,13.831207,3.833894604,62.978,0.272464095,14.2459218,13.5017264,3.678735662,8.8326,33:04.3
157,0.277189935,14.1986634,13.8311536,3.833856565,62.9854,0.472720096,14.246465,13.5022254,6.382773289,8.9968,38:17.5
158,1.613453855,0.8360242,0.8106926,1.308015101,63.0336,0.333604389,17.4485658,16.538402,5.517283496,10.4252,43:30.3
159,0.310176136,15.8719046,15.4645708,4.796740817,64.0082,-0.0009013,0.009013,0.0055172,-4.97E-06,3.7832,03:46.0
160,0.310157316,15.8720928,15.4635444,4.796131429,63.9776,0.0975824,5.024176,4.7588644,0.464381409,4.5322,08:58.7
161,0.310147456,15.8721914,15.4631916,4.795869538,63.8882,0.136986137,7.11542,6.7421528,0.92358147,5.2214,14:10.7
162,0.310138776,15.8722782,15.462555,4.795537883,63.749,0.19345964,10.0654036,9.5393424,1.845477747,6.709,19:23.7
163,0.310142496,15.872241,15.4620564,4.795440767,63.6426,0.235998226,12.3369562,11.6930348,2.759535466,8.0862,24:36.7
164,0.310131176,15.8723542,15.461713,4.795159237,63.7316,0.272440275,14.24616,13.5041002,3.67906077,8.9472,29:49.9
165,0.310134076,15.8723252,15.4613424,4.795089141,63.9746,0.304828776,15.9253782,15.0948582,4.601347151,9.8098,35:02.9
166,0.310122816,15.8724378,15.4609746,4.794800983,64.2626,0.333440789,17.4502018,16.534562,5.5132974,10.7584,40:15.7
167,0.339336309,17.3912466,16.944636,5.749930239,65.3008,-0.00090916,0.0090916,0.0052184,-4.74E-06,3.8896,00:30.6
168,0.339337569,17.391234,16.943455,5.749550832,65.225,0.09758172,5.0241828,4.7588028,0.464372162,4.5862,05:44.4
169,0.339329709,17.3913126,16.9429204,5.74923625,65.1006,0.136990037,7.115381,6.7421864,0.923612367,5.2624,10:57.6
170,1.074297429,10.0416354,9.7827488,10.50958189,64.835,0.48847244,7.1152756,6.7434688,3.293998659,5.278,16:10.9
171,0.339406149,17.3905482,16.9410788,5.749906317,64.3998,0.236008086,12.3368576,11.6932844,2.759709666,8.0616,21:24.6
172,0.339336389,17.3912458,16.9412464,5.74878138,64.381,0.272413915,14.2464236,13.5038552,3.678638061,8.9572,26:38.0
173,0.339327729,17.3913324,16.9408934,5.748514886,64.668,0.304835976,15.9253062,15.0959898,4.601800786,9.794,31:51.1
174,0.339303589,17.3915738,16.9406572,5.748025789,65.0098,0.333454649,17.4500632,16.5358822,5.513966796,10.7562,37:04.8
65,0.138863077,7.0966506,6.9129112,0.959948123,59.3848,0.137014317,7.1151382,6.7423186,0.923794181,5.1996,21:53.8
66,0.146530877,7.0199726,6.8382464,1.002014245,59.5124,0.48848022,7.1151978,6.7423746,3.293516628,5.2156,27:06.4
67,0.19627782,10.0372218,9.7780746,1.919219166,60.1178,0.137060557,7.1146758,6.7421224,0.924079054,5.2688,47:21.4
68,0.19625156,10.0374844,9.777373,1.918824704,60.1566,0.1935554,10.064446,9.5395154,1.846424719,6.6394,52:34.8
69,-0.000259168,0.00259168,0.0026206,-6.79E-07,59.8476,-0.0008348,0.008348,0.00814958,-6.80E-06,3.4988,16:35.0
70,-0.000304952,0.00304952,0.00145998,-4.45E-07,59.7122,0.09769226,5.0230774,4.7619552,0.465206166,4.4232,21:47.2
71,-0.000319968,0.00319968,0.0009455,-3.03E-07,59.5828,0.137131037,7.113971,6.7451138,0.924964453,5.1522,27:00.4
72,-0.000415334,0.00415334,0.00094708,-3.93E-07,59.4062,0.19361274,10.0638726,9.5424642,1.84754264,6.5792,32:13.7
73,-0.000488724,0.00488724,0.0009505,-4.65E-07,59.3088,0.236164486,12.3352936,11.6954614,2.762052626,8.0544,37:27.0
74,-0.000548904,0.00548904,0.00095098,-5.22E-07,59.3892,0.272543375,14.245129,13.4982074,3.678846999,8.9886,42:40.6
75,-0.000603128,0.00603128,0.00095002,-5.73E-07,59.6576,0.304918676,15.9244792,15.0889676,4.600908024,9.8006,47:53.9
76,-0.000651274,0.00651274,0.00095024,-6.19E-07,59.9694,0.333676009,17.4478496,16.5354852,5.51749471,10.6742,53:06.5
77,0.09895242,5.0104758,4.8819342,0.483079203,60.82,-0.00086864,0.0086864,0.0069152,-6.01E-06,3.853,13:19.4
78,0.09892336,5.0107664,4.8806132,0.482806657,60.662,0.09766764,5.0233236,4.7615702,0.465051324,4.5556,18:32.2
79,0.09892328,5.0107672,4.8799812,0.482743747,60.4694,0.137119917,7.1140822,6.7452286,0.924905189,5.2262,23:45.2
80,0.0989053,5.010947,4.8792492,0.482583606,60.2722,0.19361126,10.0638874,9.5432714,1.8476848,6.7114,28:58.0
81,0.09888766,5.0111234,4.878674,0.482440656,60.0978,0.236171086,12.3352276,11.6970448,2.76250377,8.0772,34:11.0
82,0.09887344,5.0112656,4.878192,0.482323624,60.1742,0.272681955,14.2437432,13.5068126,3.683064064,8.9318,39:24.1
83,0.09887136,5.0112864,4.8782348,0.482317709,60.3582,0.472958016,14.2440858,13.5066964,6.388100333,9.1112,44:37.5
84,0.09884358,5.0115642,4.8775032,0.482109878,60.5612,0.333791889,17.4466908,16.5416822,5.52147935,10.5304,49:51.1
85,0.138892137,7.09636,6.9146306,0.960387824,61.3048,-0.00087654,0.0087654,0.0064852,-5.68E-06,3.8438,10:06.1
86,0.138853497,7.0967464,6.9133524,0.95994316,61.1552,0.09767764,5.0232236,4.7620776,0.465148501,4.5532,15:19.0
87,0.138838257,7.0968988,6.9128034,0.959761578,60.957,0.137124217,7.1140392,6.7462674,0.925076638,5.2338,20:32.1
88,0.138820257,7.0970788,6.9120516,0.959532782,60.7622,0.19362722,10.0637278,9.5449356,1.848159345,6.7076,25:45.1
