Trial,40K I series,40K V series,40K V resistor,40K power,40K temp,4K I series,4K V series,4K V resistor,4K power,4K temp,Date
1,0.0986779333333,5.01322066667,4.882284,0.481773695066,296.168,0.599297856667,0.00702143333333,0.0012472,0.000747444286835,296.046666667,2018-03-01 13:00:53.146198
2,0.0986633666667,5.01336633333,4.88154766667,0.481629927337,296.179333333,0.090679,5.09321,4.81489766667,0.436610105516,296.063,2018-03-01 13:16:54.064643
3,0.599856876667,0.00143123333333,0.00141666666667,0.000849797241944,224.993333333,0.59990833,0.0009167,0.00129683333333,0.000777981119288,236.522666667,2018-03-02 14:02:39.022225
4,0.599848296667,0.00151703333333,0.0015162,0.000909489987406,220.604666667,0.599896593333,0.00103406666667,0.00141913333333,0.000851333252152,231.728333333,2018-03-02 14:13:12.148531
5,0.59984542,0.0015458,0.00154286666667,0.000925481503671,219.283666667,0.599892746667,0.00107253333333,0.00144603333333,0.000867464908105,230.271333333,2018-03-02 14:16:25.988913
6,0.424109235379,0.00154833333333,0.0015459,0.000655630466972,219.247666667,0.424156602045,0.00107466666667,0.0014474,0.0006139242658,230.226,2018-03-02 14:16:31.780492
7,0.848372984091,0.00155153333333,0.00154623333333,0.0013117825871,219.203333333,0.464650544878,0.00107456666667,0.0014486,0.000673092779311,230.177666667,2018-03-02 14:16:37.766091
8,0.5998448,0.001552,0.00154706666667,0.000927999895253,219.167,0.599892303333,0.00107696666667,0.00145313333333,0.000871723502384,230.137333333,2018-03-02 14:16:43.572672
9,0.848372297424,0.0015584,0.0015548,0.00131904924803,218.713,0.379364102554,0.00109216666667,0.00145893333333,0.000553466934685,229.633333333,2018-03-02 14:17:51.303444
10,0.848364500757,0.00163636666667,0.00163126666667,0.00138390873127,215.250666667,0.37935346922,0.0011985,0.00153856666667,0.000583660602627,225.773666667,2018-03-02 14:26:37.962574
11,0.848363017424,0.0016512,0.0016487,0.00139869610683,214.332333333,0.379350935887,0.00122383333333,0.00155706666667,0.000590674697238,224.746666667,2018-03-02 14:28:57.902721
12,0.848361987424,0.0016615,0.00165663333333,0.0014054247471,213.979,0.379349565887,0.00123753333333,0.0015739,0.000597058281749,224.356333333,2018-03-02 14:29:51.806950
13,0.848361587424,0.0016655,0.0016583,0.00140683802042,213.864333333,0.379349362554,0.00123956666667,0.00157343333333,0.00059688093202,224.225666667,2018-03-02 14:30:09.441696
14,0.848359744091,0.00168393333333,0.0016785,0.00142397183046,212.819333333,0.379346275887,0.00127043333333,0.00159816666667,0.000606258573247,223.058666667,2018-03-02 14:32:48.347989
15,0.848359690757,0.00168446666667,0.00168253333333,0.00142739345836,212.605333333,0.37934565922,0.0012766,0.00159976666667,0.000606864540765,222.82,2018-03-02 14:33:21.620508
16,0.848353477424,0.0017466,0.0017418,0.00147766208698,209.791666667,0.379337012554,0.00136306666667,0.00167506666667,0.000635414785161,219.672333333,2018-03-02 14:40:34.025815
17,0.599479326667,0.00520673333333,0.00823726666667,0.00493807107491,59.285,0.59924616,0.0075384,0.00218923333333,0.00131188966834,3.37966666667,2018-03-13 12:28:56.926701
18,0.847997167424,0.0053097,0.0086586,0.00734246827386,59.2793333333,0.847772757424,0.0075538,0.00138523333333,0.00117436308268,3.372,2018-03-13 12:33:23.495003
19,0.848102764091,0.00425373333333,0.00908873333333,0.00770817986208,59.3013333333,0.847764954091,0.00763183333333,0.000328533333333,0.000278519046251,3.38333333333,2018-03-13 12:34:11.907367
20,0.848063940757,0.00464196666667,0.00861083333333,0.00730253724987,59.2933333333,0.847862844091,0.00665293333333,7.71666666667e-05,6.5426749469e-05,3.38233333333,2018-03-13 12:35:37.121496
21,0.848052807424,0.0047533,0.00880063333333,0.00746340180544,59.2883333333,0.847810710757,0.00717426666667,0.0025609,0.00217115844918,3.37433333333,2018-03-13 12:37:20.740011
22,0.847974910757,0.00553226666667,0.0092059,0.00780637223094,59.281,1.19937046667,0.00629533333333,0.00272286666667,0.00326572586467,3.384,2018-03-13 12:37:33.542801
23,0.848068180757,0.00459956666667,0.0085928,0.00728728026361,59.2723333333,1.46902891234,0.00664933333333,0.0024412,0.0035861933808,3.37833333333,2018-03-13 12:37:45.346593
24,0.423731412045,0.00532656666667,0.00901656666667,0.00382060252547,59.2813333333,0.423612732045,0.00651336666667,0.00213796666667,0.000905669900688,3.38866666667,2018-03-13 12:41:05.365412
25,0.423713315379,0.00550753333333,0.0087763,0.00371863516976,59.291,0.599329853333,0.00670146666667,0.00107046666667,0.000641562630332,3.386,2018-03-13 12:41:17.146181
26,0.423781372045,0.00482696666667,0.0088474,0.00374936331103,59.2933333333,0.734184289502,0.00662633333333,0.00145536666667,0.00106850734213,3.38333333333,2018-03-13 12:41:28.947971
27,0.423738005379,0.00526063333333,0.00888093333333,0.00376318897657,59.2966666667,0.847819740757,0.00708396666667,0.00224566666667,0.00190392053116,3.38033333333,2018-03-13 12:41:40.758770
28,0.423710292045,0.00553776666667,0.00902656666667,0.0038246491985,59.2916666667,1.19929864667,0.00701353333333,0.00199636666667,0.00239423984158,3.38266666667,2018-03-13 12:41:53.556555
29,0.59940096,0.0059904,0.00842263333333,0.00504853450573,59.284,0.423600088712,0.0066398,0.00197053333333,0.00083471809481,3.37966666667,2018-03-13 12:42:05.358345
30,0.599513226667,0.00486773333333,0.00892173333333,0.00534869713813,59.2923333333,0.59937894,0.0062106,0.000621766666667,0.000372673845594,3.36366666667,2018-03-13 12:42:22.399369
31,0.59951907,0.0048093,0.0091392,0.00547912468454,59.2943333333,0.734390779502,0.00456143333333,0.000963566666667,0.000707634475435,3.36566666667,2018-03-13 12:42:35.159116
32,0.59946089,0.0053911,0.0092668,0.00555508417545,59.2896666667,0.847887394091,0.00640743333333,0.00166906666667,0.00141518058656,3.36633333333,2018-03-13 12:42:46.958904
33,0.599473056667,0.00526943333333,0.00893336666667,0.00535531262199,59.2943333333,1.19934951333,0.00650486666667,0.0005328,0.000639013420704,3.37033333333,2018-03-13 12:42:58.744678
34,0.734312906168,0.00534016666667,0.00870803333333,0.00639442126401,59.296,0.423662825379,0.00601243333333,0.00103793333333,0.000439733768555,3.37433333333,2018-03-13 12:43:10.747669
35,0.734311966168,0.00534956666667,0.00847533333333,0.00622353868393,59.2886666667,0.59944819,0.0055181,0.00121033333333,0.000725532125963,3.37,2018-03-13 12:43:23.549458
36,0.734265026168,0.00581896666667,0.00862403333333,0.00633232606118,59.2966666667,0.734223619502,0.00623303333333,0.0021746,0.00159664268297,3.37166666667,2018-03-13 12:43:35.351248
